Timestamp,Robot1_X,Robot1_Y,Robot2_X,Robot2_Y,Robot3_X,Robot3_Y
"builtin_interfaces.msg.Time(sec=1720262336, nanosec=184798015)",0,0,-2.000000020911054,-10.49999986690351,-2.0000000199278487,-7.499999873161495
"builtin_interfaces.msg.Time(sec=1720262337, nanosec=184809436)",0,0,-1.8963128210974713,-10.499999865954006,-1.9014628201161015,-12.49999987220049
"builtin_interfaces.msg.Time(sec=1720262338, nanosec=184729729)",0,0,-1.650626821097476,-10.49999986595397,-1.6567568201161063,-12.499999872200455
"builtin_interfaces.msg.Time(sec=1720262339, nanosec=184819966)",0,0,-1.5229686814970163,-10.499459937394064,-1.5354438654520135,-12.49947172464272
"builtin_interfaces.msg.Time(sec=1720262340, nanosec=184927538)",0,0,-1.510527788318892,-5.499080029091195,-1.5269164091903844,-12.499016843543707
"builtin_interfaces.msg.Time(sec=1720262341, nanosec=185146029)",0,0,-1.269298436074844,-10.499080029091132,-1.2856146373704112,-7.499016843543684
"builtin_interfaces.msg.Time(sec=1720262342, nanosec=184819912)",0,0,-1.0228589398567618,-5.499080029091092,-1.0424144221069445,-12.499016843543638
"builtin_interfaces.msg.Time(sec=1720262343, nanosec=184961960)",0,0,-0.7779527217231726,-10.49908002909103,-0.7979256812813885,-7.4990168435436155
"builtin_interfaces.msg.Time(sec=1720262344, nanosec=184949289)",0,0,-0.5852074092422087,-10.499080028737357,-0.6103530059233075,-12.49901684315406
"builtin_interfaces.msg.Time(sec=1720262345, nanosec=184788514)",0,0,-0.5852074094968307,-5.4990800271679845,-0.6103530061665106,-12.499016841577614
"builtin_interfaces.msg.Time(sec=1720262346, nanosec=184782466)",0,0,-0.5852074097490675,-10.499080025601733,-0.6103530064078942,-12.499016840012604
"builtin_interfaces.msg.Time(sec=1720262347, nanosec=185174191)",0,0,-0.58520741000061,-5.49908002404559,-0.6103530066461695,-12.499016838478898
