Timestamp,Robot1_X,Robot1_Y,Robot2_X,Robot2_Y,Robot3_X,Robot3_Y
"builtin_interfaces.msg.Time(sec=1720262668, nanosec=421765037)",-2.0,-3.5,-2.0,-5.5,-2.0,-7.5
"builtin_interfaces.msg.Time(sec=1720262669, nanosec=421702704)",-2.0,-3.5,-2.0,-5.5,-2.0,-7.5
"builtin_interfaces.msg.Time(sec=1720262670, nanosec=421606140)",-2.0,-3.5,-1.6368648055031767,-10.49999996397564,-1.6381227871308561,-12.499999968609604
"builtin_interfaces.msg.Time(sec=1720262671, nanosec=422361275)",-2.0,-3.5,-1.3949068056961773,-10.499999963975622,-1.3997907871308606,-12.499999968609554
"builtin_interfaces.msg.Time(sec=1720262672, nanosec=421928551)",-2.0,-3.5,-1.153928805696186,-10.49999996397557,-1.158518787130865,-12.499999968609501
"builtin_interfaces.msg.Time(sec=1720262673, nanosec=421818912)",-2.0,-3.5,-0.9115748055032008,-10.499999963975485,-0.9120659871563702,-7.499999968609462
"builtin_interfaces.msg.Time(sec=1720262674, nanosec=421687065)",-2.0,-3.5,-0.663830805696195,-10.499999963975467,-0.6671467871308702,-12.499999968609398
"builtin_interfaces.msg.Time(sec=1720262675, nanosec=422126559)",-2.0,-3.5,-0.5119050058127028,-10.499999963392973,-0.5244109872578393,-7.499999967967681
"builtin_interfaces.msg.Time(sec=1720262676, nanosec=421741286)",-2.0,-3.5,-0.511905006060789,-10.499999961823093,-0.5244109875047424,-12.499999966399525
